filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T01:16:58.231377,4579.018868
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T00:53:47.086037,3187.924528
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T03:43:29.123773,13369.962264
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T04:16:39.161509,15360.0
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T05:00:17.123774,17977.962264499998
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T23:23:19.578859,84151.5471695
xa.s12.00.mhz.1970-05-20HR00_evid00026,1970-05-20T16:42:16.473057,60097.2075475
xa.s12.00.mhz.1970-05-25HR00_evid00029,1970-05-25T05:23:57.225245,19398.037736
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T22:07:20.313943,79601.509434
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T13:07:39.032037,47219.924528
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T19:47:35.409396,71216.301887
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T05:06:24.185113,18345.0566035
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T11:44:43.958698,42244.8301885
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T18:52:12.301584,67893.132075
xa.s12.00.mhz.1970-09-09HR00_evid00043,1970-09-09T07:52:42.992924,28324.226415
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T02:24:16.411113,8617.056604
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T18:36:25.214603,66946.415094
xa.s12.00.mhz.1971-06-11HR00_evid00096,1971-06-11T00:55:23.762811,3284.528302
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T20:20:45.563132,73206.339623
xa.s12.00.mhz.1971-11-24HR00_evid00156,1971-11-24T06:30:46.008849,23407.0943395
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T18:38:21.319132,67062.339623
xa.s12.00.mhz.1972-02-21HR00_evid00190,1972-02-21T08:03:01.491075,28942.490566
xa.s12.00.mhz.1972-02-21HR00_evid00190,1972-02-21T15:46:53.038245,56774.037735499995
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T07:58:21.420132,28662.3396225
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T06:17:24.343528,22605.283019
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T06:54:26.500320,24827.169811
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T13:35:30.500321,48891.1698115
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T02:13:19.289452,7960.150943
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T12:16:27.063037,44147.924528
xa.s12.00.mhz.1973-08-08HR00_evid00437,1973-08-08T14:24:35.463521,51818.264151
xa.s12.00.mhz.1973-10-10HR00_evid00463,1973-10-10T23:13:21.458660,83562.264151
xa.s12.00.mhz.1973-11-22HR00_evid00475,1973-11-22T19:51:08.130698,71428.830189
xa.s12.00.mhz.1974-03-30HR00_evid00512,1974-03-30T23:21:05.237773,84025.962264
xa.s12.00.mhz.1974-05-09HR00_evid00522,1974-05-09T13:13:27.023622,47567.698113
xa.s12.00.mhz.1974-06-30HR00_evid00543,1974-06-30T10:54:58.677094,39259.773585
xa.s12.00.mhz.1974-07-25HR05_evid00553,1974-07-25T07:39:42.911488,9293.283019
xa.s12.00.mhz.1974-10-02HR00_evid00572,1974-10-02T11:50:21.854905,42582.943396
xa.s12.00.mhz.1975-05-16HR00_evid00651,1975-05-16T13:28:15.318339,48456.45283
xa.s12.00.mhz.1975-06-15HR00_evid00660,1975-06-15T12:53:09.469075,46350.490566
xa.s12.00.mhz.1977-04-11HR00_evid00915,1977-04-11T07:29:31.947584,26933.132075
xa.s12.00.mhz.1977-04-26HR00_evid00924,1977-04-26T08:13:39.157981,29580.075472
xa.s12.00.mhz.1977-07-19HR00_evid00991,1977-07-19T18:05:21.252774,65081.962264500005
xa.s12.00.mhz.1977-07-19HR00_evid00991,1977-07-19T21:29:59.592396,77360.301887
