filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T02:09:46.639151,7708.981132
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T02:27:29.280661,8771.622642
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T02:47:27.167453,9969.509434
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T03:09:20.978774,11283.320755
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T03:27:22.941038,12365.283019
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T03:47:59.469340,13601.811321
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T04:35:00.299528,16422.641509
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T04:49:49.054246,17311.396226333334
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T05:17:11.318396,18953.6603775
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T06:12:53.808962,22329.272237142857
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T06:56:02.790094,24962.415094166663
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T07:39:50.412736,27512.754717
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T08:08:49.280661,29251.622642
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T08:41:20.676887,31119.295597666667
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T09:25:08.299528,33610.3849056
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T10:06:02.035377,36284.377358
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T10:49:49.658019,39130.96855333333
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T12:05:49.356132,43471.698113
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T13:00:14.563679,46736.90566049999
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T15:21:55.695755,55238.037736
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T17:24:17.582547,62425.358490666666
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T21:00:41.129718,77006.08805033335
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T00:13:31.975698,734.188679
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T00:24:09.560604,1371.773585
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T00:47:20.654943,2762.8679245
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T01:24:22.541736,4984.754717
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T02:54:32.353057,10394.566038
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T03:25:27.145510,12249.358491
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T04:24:42.164378,15804.377358333333
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T05:06:53.183245,18335.39622625
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T05:44:33.711547,20595.924528
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T06:46:03.975699,24357.03144666667
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T07:35:00.730415,27773.584905625
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T10:25:21.409661,37443.622642
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T11:04:57.862490,39820.0754715
