filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T13:14:24.479886,47625.660377
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T17:00:46.970452,61208.150943
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T03:03:42.616566,10983.8490565
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T09:10:38.616566,32999.849057
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T12:44:46.918452,45848.150943
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T17:24:07.673170,62608.90566049999
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T17:46:30.465622,63951.698113
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T01:25:01.250245,5062.037736
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T07:46:16.601830,27937.811321
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T08:41:01.130132,31222.339623
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T15:58:57.356547,57498.566038
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T00:59:54.180377,3555.018868
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T03:43:29.123773,13369.962264
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T08:17:40.746415,29821.5849055
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T09:17:05.425660,33386.264151
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T20:00:28.293584,71989.132075
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T12:05:58.371312,43510.339623
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T15:19:10.824142,55102.792453
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T19:35:39.805274,70491.77358499999
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T23:23:19.578859,84151.5471695
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T02:42:37.331132,9718.339623
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T05:44:04.576415,20605.5849055
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T08:28:27.821698,30468.830189
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T08:56:48.048113,32169.056604
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T10:48:32.350000,38873.358491
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T22:12:48.953773,79929.962264
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T22:37:17.331132,81398.339623
xa.s12.00.mhz.1970-05-20HR00_evid00026,1970-05-20T20:41:02.812679,74423.54717
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T00:37:59.996056,2241.2075475
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T05:41:58.788509,20480.0
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T11:33:46.713038,41587.9245285
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T08:59:42.252905,32342.943396
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T09:21:36.064226,33656.754717
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T13:35:30.479321,48891.1698115
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T15:56:23.309509,57344.0
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T18:15:58.856679,65719.5471695
xa.s12.00.mhz.1970-05-25HR00_evid00029,1970-05-25T00:51:31.866754,3052.679245
xa.s12.00.mhz.1970-05-25HR00_evid00029,1970-05-25T18:05:01.829019,65062.6415095
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T09:09:40.691301,32941.886792
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T17:08:49.974320,61691.169811
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T19:55:57.446018,71718.641509
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T20:34:45.596962,74046.7924525
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T21:04:13.446018,75814.641509
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T22:07:20.313943,79601.509434
xa.s12.00.mhz.1970-07-17HR00_evid00035,1970-07-17T02:05:55.095094,7515.773585
xa.s12.00.mhz.1970-07-17HR00_evid00035,1970-07-17T08:36:11.849811,30932.528302
xa.s12.00.mhz.1970-07-17HR00_evid00035,1970-07-17T18:29:01.359245,66502.037736
xa.s12.00.mhz.1970-07-17HR00_evid00035,1970-07-17T19:32:08.227169,70288.90566
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T00:30:26.277321,1787.1698115
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T07:13:45.522603,25986.415094
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T11:33:37.371660,41578.264151
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T12:47:31.484868,46012.3773585
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T17:15:26.352792,62087.245283
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T05:06:24.185113,18345.0566035
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T11:44:43.958698,42244.8301885
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T10:22:27.546867,37308.377358
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T10:52:14.716679,39095.5471695
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T13:05:23.848754,47084.679245
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T15:04:13.207245,54214.037736
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T17:57:08.452528,64589.283019
xa.s12.00.mhz.1970-09-09HR00_evid00043,1970-09-09T17:02:13.860849,61295.09433950001
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T01:40:28.212471,5989.433962
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T10:33:43.382283,37984.603774
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T15:11:46.853981,54668.0754715
xa.s12.00.mhz.1970-11-03HR00_evid00050,1970-11-03T01:46:35.564811,6356.528302
xa.s12.00.mhz.1970-11-03HR00_evid00050,1970-11-03T08:19:46.206320,29947.169811
xa.s12.00.mhz.1970-11-03HR00_evid00050,1970-11-03T15:57:01.678018,57382.641509
xa.s12.00.mhz.1970-11-03HR00_evid00050,1970-11-03T16:22:08.696886,58889.660377
xa.s12.00.mhz.1970-11-03HR00_evid00051,1970-11-03T01:46:35.564811,6356.528302
xa.s12.00.mhz.1970-11-03HR00_evid00051,1970-11-03T08:19:46.206320,29947.169811
xa.s12.00.mhz.1970-11-03HR00_evid00051,1970-11-03T15:57:01.678018,57382.641509
xa.s12.00.mhz.1970-11-03HR00_evid00051,1970-11-03T16:22:08.696886,58889.660377
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T02:45:50.385679,9911.54717
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T03:03:13.706433,10954.8679245
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T06:00:58.763037,21619.924528
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T07:53:21.706434,28362.867925
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T00:07:34.750736,415.3962265
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T05:10:25.920547,18586.566038
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T06:28:11.882811,23252.528302
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T02:28:27.025924,8868.226415
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T07:16:10.120264,26131.3207545
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T14:20:05.893849,51567.09434
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T16:45:00.233471,60261.433962
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T18:01:38.573094,64859.773585
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T18:42:51.629698,67332.830189
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T22:11:21.818377,79843.01886800001
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T22:40:11.025924,81572.226415
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T23:51:59.554226,85880.754717
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T04:02:09.665547,14490.566038
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T07:31:47.476867,27068.377358
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T11:25:53.665547,41114.566038
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T13:48:32.759886,49673.660377
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T16:29:04.156113,59305.056603499994
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T17:48:17.061774,64057.962264500005
xa.s12.00.mhz.1971-04-08HR01_evid00083,1971-04-08T10:03:17.001952,30681.358491
xa.s12.00.mhz.1971-04-08HR01_evid00083,1971-04-08T12:19:00.700065,38825.056603499994
xa.s12.00.mhz.1971-05-22HR00_evid00092,1971-05-22T01:05:41.970962,3902.792453
xa.s12.00.mhz.1971-06-11HR00_evid00096,1971-06-11T03:19:20.140169,11920.90566
xa.s12.00.mhz.1971-06-11HR00_evid00096,1971-06-11T05:54:23.083566,21223.8490565
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T00:16:06.250735,927.396226
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T07:12:47.307339,25928.45283
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T08:22:39.911113,30121.056604
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T00:16:06.250735,927.396226
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T07:12:47.307339,25928.45283
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T08:22:39.911113,30121.056604
xa.s12.00.mhz.1971-11-24HR00_evid00156,1971-11-24T19:00:15.065452,68376.15094349999
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T14:16:52.866301,51373.886792
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T18:19:21.394603,65922.415094
xa.s12.00.mhz.1972-02-21HR00_evid00190,1972-02-21T01:52:03.981641,6684.981132
xa.s12.00.mhz.1972-02-21HR00_evid00190,1972-02-21T19:14:44.585415,69245.584906
xa.s12.00.mhz.1972-02-28HR00_evid00192,1972-02-28T03:23:50.385735,12191.396226
xa.s12.00.mhz.1972-02-28HR00_evid00192,1972-02-28T03:51:41.631019,13862.641509500001
xa.s12.00.mhz.1972-02-28HR00_evid00192,1972-02-28T08:52:17.555547,31898.566038
xa.s12.00.mhz.1972-05-19HR00_evid00228,1972-05-19T01:49:29.177603,6530.415094
xa.s12.00.mhz.1972-05-19HR00_evid00228,1972-05-19T13:22:08.121000,48089.358491
xa.s12.00.mhz.1972-05-19HR00_evid00228,1972-05-19T18:41:14.988924,67236.226415
xa.s12.00.mhz.1972-11-14HR00_evid00331,1972-11-14T06:33:11.354509,23552.0
xa.s12.00.mhz.1972-11-19HR00_evid00335,1972-11-19T00:59:35.015622,3535.698113
xa.s12.00.mhz.1972-11-19HR00_evid00335,1972-11-19T08:58:44.298641,32284.981132
xa.s12.00.mhz.1972-11-19HR00_evid00335,1972-11-19T17:01:45.430717,61266.113208
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T01:27:55.005037,5235.924528
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T06:37:41.571075,23822.490566
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T06:57:39.457867,25020.377358
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T07:58:21.420132,28662.3396225
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T11:47:08.816358,42389.735849
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T16:44:41.193717,60242.113208
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T09:04:51.135980,32652.0754715
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T09:54:26.532207,35627.471698
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T22:14:44.947301,80045.886792
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T23:01:26.456735,82847.396226
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T21:16:28.160698,76548.830189
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T23:12:04.311641,83484.981132
xa.s12.00.mhz.1973-03-12HR00_evid00384,1973-03-12T00:09:01.696132,502.339623
xa.s12.00.mhz.1973-03-12HR00_evid00384,1973-03-12T17:59:23.884811,64724.528302
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T00:18:41.100773,1081.962264
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T00:49:55.213981,2956.075472
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T02:03:30.006434,7370.8679245
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T02:29:44.647943,8945.509434
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T05:16:32.798886,18953.660377
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T05:54:13.327188,21214.188679
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T06:48:57.855490,24498.716981
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T09:04:12.572471,32613.433962
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T09:36:53.629075,34574.490566
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T11:56:09.855490,42930.716981
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T12:18:03.666811,44244.528302
