filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T01:36:36.404415,5757.584906
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T12:10:58.291207,43819.471698
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T23:54:05.159132,86006.3396225
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T23:05:27.673170,83088.9056605
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T04:16:58.482264,15379.320755
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T11:15:44.333576,40496.301887
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T15:44:37.783962,56638.7924525
xa.s12.00.mhz.1970-05-20HR00_evid00026,1970-05-20T15:22:53.907018,55334.641509
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T08:41:20.969886,31241.660377
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T15:49:56.894415,56957.584906
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T03:15:08.864358,11669.735849
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T05:06:24.185113,18345.0566035
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T10:26:19.354924,37540.226415
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T11:44:24.637943,42225.509434
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T17:42:38.977566,63719.849057
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T02:45:50.385679,9911.54717
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T05:06:52.876245,18374.037736
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T04:06:01.769603,14722.415094
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T10:16:39.958283,36960.603774
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T05:26:51.024037,19571.924528
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T00:06:26.646094,347.773585
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T02:01:24.155528,7245.283019
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T15:06:47.476283,54368.603774
xa.s12.00.mhz.1972-02-21HR00_evid00190,1972-02-21T02:58:04.736358,10645.735849
xa.s12.00.mhz.1972-05-15HR00_evid00223,1972-05-15T16:47:34.902509,60416.0
xa.s12.00.mhz.1972-11-14HR00_evid00331,1972-11-14T17:46:50.373377,63971.018868
xa.s12.00.mhz.1972-11-19HR00_evid00335,1972-11-19T21:11:19.015622,76239.698113
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T07:58:21.420132,28662.3396225
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T12:20:38.174849,44399.09434
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T00:20:56.268056,1217.207547
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T01:06:01.173717,3922.113208
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T12:16:07.664283,44128.603774
xa.s12.00.mhz.1973-03-12HR00_evid00384,1973-03-12T01:14:52.790472,4453.433962499999
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T02:14:55.893226,8056.754717
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T03:51:12.798886,13833.660377
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T06:27:23.364924,23204.226415
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T12:16:17.402660,44138.264151
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T17:40:04.421528,63565.283019
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T19:45:58.836622,71119.698113
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T22:30:31.742283,80992.603774
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T22:52:44.874358,82325.735849
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T23:46:41.100774,85561.9622645
xa.s12.00.mhz.1973-10-03HR03_evid00461,1973-10-03T10:29:10.047209,23358.792453
xa.s12.00.mhz.1973-10-03HR03_evid00461,1973-10-03T21:49:54.122681,64202.867925
